Year,gdpsoc,Country,gdpsoc_lag,gdpcap_lag,unemp_lag,oldpeople_lag,budgdef_lag,openconst_lag,inflation_lag
1981,11.2,1,11.3,17120.4,5.9166999,9.5898552,-1.3,23.24,8.9700003
1982,12.3,1,11.2,17496.982,5.6236,9.6779079,-.80000001,24.07,9.4700003
1983,12.9,1,12.3,16657.711,6.7398,9.7588921,-1.6,23.610001,10.45
1984,13.3,1,12.9,17305.838,9.9162998,9.8816738,-3.8,24,8.6000004
1985,13.5,1,13.3,17911.742,8.5431004,10.017847,-4.0999999,26.610001,5.8699999
1986,13.4,1,13.5,18400.934,7.9045,10.132047,-3.4000001,25.959999,6.96
1987,13.2,1,13.4,18536.678,7.9552999,10.323339,-2.8,26.01,9.71
1988,12.4,1,13.2,19295.711,7.8242998,10.53075,-1.1,27.120001,8.5
1989,12.7,1,12.4,19860.232,6.8297,10.73005,.69999999,29.299999,4.5900002
1990,14.2,1,12.7,20500.742,5.7192001,10.927053,1.2,29.309999,7.5500002
1991,15.3,1,14.2,20063.406,6.9700999,11.151449,.2,30.07,7.2800002
1992,16.299999,1,15.3,19838.525,9.4802999,11.282373,-2.7,31.92,3.22
1993,16.5,1,16.299999,20357.83,10.5449,11.423912,-4.6999998,32.759998,.99000001
1994,16.200001,1,16.5,20973.891,10.7298,11.593887,-4.5,34.099998,1.8099999
1995,17.799999,1,16.200001,21692.609,9.1883001,11.757727,-3.5,36.080002,1.89
1996,18,1,17.799999,22291.52,8.0545998,11.904836,-2.0999999,37.099998,4.6399999
1981,22.799999,2,22.45883,15781.823,1.1,15.404177,-1.7,57.040001,6.3299999
1982,23.1,2,22.799999,15644.843,1.5,15.132402,-1.7,58.419998,6.8099999
1983,23.4,2,23.1,15864.443,2.4000001,14.871808,-3.3,56.540001,5.4400001
1984,23.799999,2,23.4,16319.262,3,14.676172,3.3,57.529999,3.3399999
1985,24.098036,2,23.799999,16404.709,2.9000001,14.441484,-2.5,61.98,5.6599998
1986,24.1,2,24.098036,16764.113,3.0999999,14.205343,-2.5,64.620003,3.1900001
1987,24.1,2,24.1,17142.486,3.3,14.394836,-3.5999999,61.459999,1.74
1988,24.1,2,24.1,17421.082,3.5,14.590759,-4.1999998,62.970001,1.41
1989,24.1,2,24.1,18419.396,3.3,14.762129,-3.5,65.459999,1.88
1990,24.098303,2,24.1,19138.174,2.9000001,14.907478,-3.0999999,68.349998,2.25
1991,24.373281,2,24.098303,19812.83,3.0999999,14.941799,-2.4000001,70.040001,2.76
1992,25.026039,2,24.373281,20281.422,3.4000001,14.909204,-3,71.5,3.1500001
1993,26.604902,2,25.026039,20429.023,3.4000001,14.907497,-2,70.900002,3.53
1994,27.294817,2,26.604902,20298.727,4,14.923942,-4.1999998,69.75,3.1800001
1995,26.641237,2,27.294817,20738.404,3.8,15.013454,-5,72.629997,2.6500001
1996,26.712826,2,26.641237,21025.727,3.9000001,15.141212,-5.1999998,74.589996,1.63
1981,25.729731,3,24.131132,16326.52,7.4000001,14.4,-8.5,96.790001,6.6500001
1982,26.367619,3,25.729731,16179.3,9.3999996,14.3,-12.5,98.120003,7.6300001
1983,26.662853,3,26.367619,16183.67,11,14.1,-10.7,99.889999,8.7299995
1984,25.937931,3,26.662853,16174.71,10.7,14,-11.4,100.54,7.6599998
1985,26.910957,3,25.937931,16628.279,10.8,13.9,-9.3999996,104.17,6.3499999
1986,26.726297,3,26.910957,16941.689,10.1,13.8,-8.8999996,102.59,4.8699999
1987,26.443874,3,26.726297,17233.551,10,14.1,-9.3000002,104.48,1.3
1988,26.041374,3,26.443874,17742.789,9.8000002,14.3,-7.5999999,107.36,1.55
1989,25.165249,3,26.041374,18607.119,8.8000002,14.5,-6.6999998,112.36,1.16
