govt_parties,year,cntry,boom1_int,bust1_int,major,govt_cpg2,major_cpg2,major_part,major_iboom,major_ibust,parties_iboom,parties_ibust,cpg2_iboom,cpg2_ibust,major_iboom_parties,major_ibust_parties,major_iboom_cpg2,major_ibust_cpg2
2,1981,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2,1982,1,0,1,0,4,0,0,0,0,0,2,0,4,0,0,0,0
1.1666666,1983,1,0,2,0,2.3333333,0,0,0,0,0,2.3333333,0,4.6666665,0,0,0,0
1,1984,1,1,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0
1,1985,1,2,0,0,2,0,0,0,0,2,0,4,0,0,0,0,0
1,1986,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,1987,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,1988,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,1989,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,1990,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,1991,1,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0
1,1992,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,1993,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,1994,1,1,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0
1,1995,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1.8333334,1996,1,1,0,0,3.6666667,0,0,0,0,1.8333334,0,3.6666667,0,0,0,0,0
1,1981,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,1982,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1.5833334,1983,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2,1984,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2,1985,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2,1986,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2,1987,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2,1988,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2,1989,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2,1990,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2,1991,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2,1992,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2,1993,2,0,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0
2,1994,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2,1995,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2,1996,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4,1981,3,0,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0
4,1982,3,0,1,1,4,4,4,0,1,0,4,0,4,0,4,0,4
4,1983,3,0,0,1,4,4,4,0,0,0,0,0,0,0,0,0,0
4,1984,3,0,0,1,4,4,4,0,0,0,0,0,0,0,0,0,0
4,1985,3,0,0,1,4,4,4,0,0,0,0,0,0,0,0,0,0
4,1986,3,0,0,1,4,4,4,0,0,0,0,0,0,0,0,0,0
4,1987,3,0,0,1,4,4,4,0,0,0,0,0,0,0,0,0,0
4.5833335,1988,3,0,0,1,2.8333333,2.8333333,4.5833335,0,0,0,0,0,0,0,0,0,0
5,1989,3,0,0,1,2,2,5,0,0,0,0,0,0,0,0,0,0
5,1990,3,0,0,1,2,2,5,0,0,0,0,0,0,0,0,0,0
5,1991,3,0,0,1,2,2,5,0,0,0,0,0,0,0,0,0,0
4.1666665,1992,3,0,0,1,2,2,4.1666665,0,0,0,0,0,0,0,0,0,0
4,1993,3,0,1,1,2,2,4,0,1,0,4,0,2,0,4,0,2
4,1994,3,0,2,1,2,2,4,0,2,0,8,0,4,0,8,0,4
4,1995,3,0,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0
1,1981,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1,1982,4,0,1,0,5,0,0,0,0,0,1,0,5,0,0,0,0
1,1983,4,0,2,0,5,0,0,0,0,0,2,0,10,0,0,0,0
1,1984,4,1,0,0,5,0,0,0,0,1,0,5,0,0,0,0,0
1,1985,4,2,0,0,5,0,0,0,0,2,0,10,0,0,0,0,0
1,1986,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1,1987,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1,1988,4,1,0,0,5,0,0,0,0,1,0,5,0,0,0,0,0
1,1989,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1,1990,4,0,1,0,5,0,0,0,0,0,1,0,5,0,0,0,0
1,1991,4,0,2,0,5,0,0,0,0,0,2,0,10,0,0,0,0
1,1992,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1,1993,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1,1994,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1,1995,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1,1996,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1,1997,4,1,0,0,5,0,0,0,0,1,0,5,0,0,0,0,0
1,1981,5,16,0,0,2,0,0,0,0,16,0,32,0,0,0,0,0
2,1982,5,0,0,0,2.6700001,0,0,0,0,0,0,0,0,0,0,0,0
4,1983,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
4,1984,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
4,1985,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
4,1986,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
4,1987,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
3.4166667,1988,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
3,1989,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2,1990,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2,1991,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2,1992,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
3.8333333,1993,5,0,1,1,2,2,3.8333333,0,1,0,3.8333333,0,2,0,3.8333333,0,2
3.75,1994,5,0,0,1,2,2,3.75,0,0,0,0,0,0,0,0,0,0
3,1995,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4,1981,6,0,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0
4,1982,6,0,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0
3.6666667,1983,6,0,0,1,2,2,3.6666667,0,0,0,0,0,0,0,0,0,0
4,1984,6,0,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0
4,1985,6,0,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0
4,1986,6,0,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0
4,1987,6,0,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0
4,1988,6,1,0,1,2,2,4,1,0,4,0,2,0,4,0,2,0
4,1989,6,2,0,1,2,2,4,2,0,8,0,4,0,8,0,4,0
3.6666667,1990,6,0,1,1,2,2,3.6666667,0,1,0,3.6666667,0,2,0,3.6666667,0,2
3.6666667,1991,6,0,2,1,2.6666667,2.6666667,3.6666667,0,2,0,7.3333335,0,5.3333335,0,7.3333335,0,5.3333335
